"Gender" "Race" "Hisp" "Age" "Relate"
"2" "1" "1" "26" "2"
"1" "1" "1" "25" "3"
"1" "1" "2" "22" "3"
"1" "1" "1" "7" "8"
"2" "1" "1" "56" "2"
"2" "1" "1" "45" "2"
"1" "1" "1" "11" "3"
"2" "1" "1" "66" "2"
"1" "1" "1" "2" "3"
"2" "1" "1" "16" "3"
"1" "1" "1" "18" "3"
"2" "1" "1" "9" "3"
"2" "1" "1" "7" "3"
"1" "1" "1" "27" "2"
"1" "1" "1" "51" "12"
"2" "2" "1" "29" "2"
"1" "2" "1" "16" "3"
"1" "1" "1" "22" "2"
"2" "2" "2" "24" "3"
"1" "1" "1" "23" "2"
"1" "1" "1" "2" "3"
"1" "1" "4" "17" "3"
"2" "1" "1" "58" "12"
"2" "1" "1" "29" "10"
"1" "2" "1" "64" "3"
"1" "7" "2" "57" "2"
"1" "7" "2" "27" "3"
"2" "1" "1" "36" "3"
"1" "2" "1" "16" "3"
"1" "7" "1" "16" "3"
"2" "1" "1" "32" "12"
"1" "1" "1" "11" "3"
"2" "1" "2" "22" "2"
"1" "1" "2" "3" "3"
"2" "1" "2" "7" "11"
"1" "2" "1" "25" "3"
"2" "6" "1" "47" "12"
"2" "2" "1" "82" "2"
"2" "1" "1" "50" "12"
"2" "1" "1" "50" "2"
"2" "2" "2" "84" "2"
"2" "1" "1" "62" "2"
"1" "1" "1" "16" "8"
"2" "1" "1" "49" "3"
"2" "1" "1" "8" "3"
"2" "1" "1" "24" "2"
"2" "1" "1" "50" "2"
"1" "1" "1" "64" "3"
"1" "1" "1" "2" "8"
"2" "1" "1" "22" "3"
"1" "1" "1" "62" "12"
"2" "7" "1" "27" "2"
"1" "1" "2" "25" "2"
"2" "1" "1" "50" "6"
"2" "1" "1" "62" "11"
"1" "1" "1" "83" "2"
"1" "1" "1" "51" "2"
"1" "2" "1" "50" "2"
"1" "7" "5" "46" "7"
"2" "7" "5" "13" "3"
"1" "7" "5" "4" "3"
"2" "6" "1" "70" "2"
"1" "1" "1" "6" "3"
"1" "1" "1" "10" "3"
"1" "2" "1" "64" "13"
"2" "1" "1" "19" "2"
"2" "1" "1" "10" "13"
"1" "1" "1" "25" "12"
"1" "1" "1" "88" "11"
"2" "1" "1" "52" "12"
"2" "1" "1" "26" "3"
"1" "1" "1" "24" "3"
"2" "1" "1" "33" "12"
"1" "1" "1" "14" "3"
"1" "1" "1" "89" "2"
"2" "1" "1" "45" "2"
"1" "1" "1" "23" "6"
"1" "1" "1" "65" "7"
"2" "1" "1" "73" "2"
"2" "1" "1" "33" "2"
"2" "1" "1" "68" "2"
"1" "1" "1" "59" "6"
"1" "1" "1" "36" "2"
"2" "1" "1" "2" "3"
"2" "1" "1" "7" "12"
"2" "1" "1" "25" "2"
"2" "1" "1" "55" "2"
"2" "1" "1" "81" "2"
"1" "1" "1" "90" "9"
"2" "1" "1" "19" "3"
"2" "1" "1" "12" "3"
"2" "7" "2" "11" "8"
"1" "2" "1" "58" "3"
"1" "2" "1" "53" "2"
"2" "1" "1" "66" "2"
"1" "1" "1" "45" "12"
"2" "1" "1" "66" "2"
"2" "1" "1" "48" "3"
"1" "1" "1" "14" "3"
"2" "3" "1" "29" "6"
"2" "1" "1" "11" "3"
"1" "1" "1" "50" "13"
"2" "1" "1" "8" "3"
"1" "2" "1" "23" "3"
"1" "2" "1" "6" "11"
"2" "2" "1" "1" "11"
"1" "1" "1" "64" "2"
"1" "8" "1" "72" "6"
"1" "1" "1" "60" "2"
"2" "1" "1" "69" "2"
"1" "1" "1" "16" "3"
"1" "1" "1" "55" "2"
"2" "2" "1" "8" "3"
"2" "2" "1" "89" "13"
"2" "1" "1" "2" "3"
"1" "1" "1" "45" "2"
"1" "1" "1" "12" "3"
"2" "1" "1" "50" "2"
"2" "1" "1" "51" "2"
"1" "4" "1" "61" "13"
"2" "4" "1" "53" "9"
"2" "1" "1" "61" "2"
"1" "1" "1" "53" "2"
"2" "1" "1" "18" "3"
"1" "1" "1" "10" "8"
"1" "2" "1" "65" "2"
"2" "1" "1" "10" "3"
"1" "1" "1" "49" "2"
"1" "4" "1" "53" "6"
"1" "1" "2" "17" "3"
"1" "1" "2" "15" "8"
"1" "1" "1" "73" "2"
"1" "1" "1" "1" "3"
"2" "1" "1" "44" "3"
"1" "1" "1" "22" "2"
"2" "1" "1" "54" "2"
"2" "1" "1" "64" "3"
"1" "1" "1" "22" "3"
"2" "1" "1" "41" "3"
"2" "1" "1" "39" "2"
"2" "1" "1" "46" "3"
"1" "8" "1" "17" "2"
"1" "1" "4" "14" "3"
"1" "2" "1" "39" "2"
"1" "2" "1" "23" "3"
"2" "2" "1" "30" "3"
"2" "1" "1" "44" "2"
"1" "1" "1" "8" "8"
"2" "1" "1" "29" "2"
"1" "1" "1" "23" "2"
"2" "1" "1" "60" "2"
"1" "1" "1" "9" "3"
